topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Wirtschaft","Kalkulation","Was sind Gemeinkosten?","Direkt zuordenbare Kosten","Nicht direkt zuordenbare Kosten","Variable Kosten","Materialkosten","B","2","Gemeinkosten können nicht direkt einem Produkt zugeordnet werden (z.B. Miete, Verwaltung).","kalkulation,gemeinkosten,wirtschaft","Gegenteil von Einzelkosten","Werden über Zuschlagssätze verteilt"
"Wirtschaft","Kostenrechnung","Was ist der Deckungsbeitrag?","Gewinn","Erlös minus variable Kosten","Fixkosten","Gesamtkosten","B","2","Deckungsbeitrag = Umsatz - variable Kosten, trägt zur Deckung der Fixkosten bei.","deckungsbeitrag,kostenrechnung,wirtschaft","DB muss Fixkosten decken","DB = Preis - variable Stückkosten"
"Wirtschaft","Investition","Was ist der Kapitalwert?","Anschaffungskosten","Barwert aller Zahlungen","Restwert","Zinssatz","B","3","Kapitalwert = Summe aller abgezinsten Ein- und Auszahlungen.","kapitalwert,investition,npv","NPV = Net Present Value","Positiv = Investition lohnt sich"
"Wirtschaft","Finanzierung","Was ist Leasing?","Kauf auf Raten","Nutzungsüberlassung gegen Entgelt","Kredit","Sparen","B","1","Leasing = Gebrauchsüberlassung ohne Eigentumserwerb.","leasing,finanzierung,wirtschaft","Bilanzielle Vorteile möglich","Operating vs. Finance Lease"
"Wirtschaft","Bilanz","Was steht auf der Aktivseite der Bilanz?","Schulden","Vermögen","Eigenkapital","Verbindlichkeiten","B","1","Aktiva zeigt Mittelverwendung (Vermögen), Passiva die Mittelherkunft.","bilanz,aktiva,buchhaltung","Aktiva = Passiva (immer)","Anlagevermögen + Umlaufvermögen"
"Wirtschaft","Abschreibung","Was ist lineare Abschreibung?","Variable Beträge","Gleichmäßige Beträge","Keine Abschreibung","Sofortabschreibung","B","1","Lineare AfA verteilt Anschaffungskosten gleichmäßig über Nutzungsdauer.","abschreibung,afa,linear","Häufigste Methode","Jährlicher Betrag = AK / Nutzungsdauer"
"Wirtschaft","Marketing","Was sind die 4 P's im Marketing-Mix?","Nur Preis","Product, Price, Place, Promotion","Personal, Prozess, Physik, Politik","Planung, Produktion, Prüfung, Profit","B","1","Die 4P sind die klassischen Instrumente des Marketing-Mix.","marketing,4p,marketing-mix","Produkt-, Preis-, Distributions-, Kommunikationspolitik","Erweitert auf 7P im Dienstleistungsmarketing"
"Wirtschaft","Marktformen","Was ist ein Monopol?","Viele Anbieter","Ein Anbieter","Zwei Anbieter","Drei Anbieter","B","1","Monopol = Marktform mit nur einem Anbieter.","monopol,marktform,wirtschaft","Preissetzer, nicht Preisnehmer","Gefahr des Marktmissbrauchs"
"Wirtschaft","Konjunktur","Was kennzeichnet eine Rezession?","Wirtschaftswachstum","Wirtschaftsrückgang","Stagnation","Inflation","B","2","Rezession = mindestens zwei Quartale negatives Wirtschaftswachstum.","rezession,konjunktur,wirtschaft","Teil des Konjunkturzyklus","BIP sinkt"
"Wirtschaft","Steuern","Was ist die Umsatzsteuer?","Einkommensteuer","Verbrauchsteuer","Vermögensteuer","Erbschaftsteuer","B","1","Umsatzsteuer besteuert den Waren- und Dienstleistungsverkehr.","umsatzsteuer,mwst,steuern","19% Regelsatz, 7% ermäßigt","Vorsteuerabzug für Unternehmen"
"Recht","Vertragsrecht","Wann ist ein Vertrag nichtig?","Bei Irrtum","Bei Sittenwidrigkeit","Bei Lieferverzug","Bei Reklamation","B","2","§ 138 BGB: Sittenwidrige Rechtsgeschäfte sind nichtig.","vertrag,nichtigkeit,bgb","Von Anfang an unwirksam","Wucher, Täuschung, Zwang"
"Recht","Arbeitsrecht","Was ist die Probezeit?","Urlaubszeit","Befristete Anfangsphase","Unbezahlte Zeit","Teilzeit","B","1","Probezeit ermöglicht erleichterte Kündigung (max. 6 Monate).","probezeit,arbeitsrecht,kündigung","Kündigungsfrist 2 Wochen","Beidseitig möglich"
"Recht","Datenschutz","Was sind personenbezogene Daten nach DSGVO?","Nur Name und Adresse","Alle Infos über identifizierbare Person","Nur Gesundheitsdaten","Nur Finanzdaten","B","1","Art. 4 DSGVO: Alle Informationen über identifizierte/identifizierbare Person.","dsgvo,personenbezogene-daten,datenschutz","Sehr weite Definition","IP-Adressen auch betroffen"
"Recht","Urheberrecht","Wie lange gilt Urheberrecht nach Tod?","10 Jahre","70 Jahre","100 Jahre","Für immer","B","2","§ 64 UrhG: Urheberrecht erlischt 70 Jahre nach Tod des Urhebers.","urheberrecht,schutzfrist,urhg","Danach gemeinfrei","Unterschiedlich international"
"Recht","Haftung","Was ist höhere Gewalt?","Fahrlässigkeit","Unabwendbares Ereignis","Vorsatz","Garantiefall","B","2","Höhere Gewalt = von außen kommendes, unabwendbares Ereignis.","höhere-gewalt,haftung,recht","Befreit von Leistungspflicht","Naturkatastrophen, Krieg"
"Kommunikation","E-Mail","Was ist BCC?","Blind Carbon Copy","Before Carbon Copy","Basic Carbon Copy","Binary Carbon Copy","A","1","BCC verbirgt Empfänger voreinander (Blindkopie).","email,bcc,kommunikation","Datenschutz bei Rundmails","Empfänger sehen sich nicht"
"Kommunikation","Präsentation","Was ist die 10-20-30 Regel?","Schriftgröße","10 Folien, 20 Min, 30pt Schrift","30 Folien, 20 Min, 10pt","20 Folien, 10 Min, 30pt","B","2","Guy Kawasaki's Regel für effektive Präsentationen.","präsentation,regel,kawasaki","Verhindert Überladung","Fokus auf Kernbotschaften"
"Kommunikation","Konflikt","Was ist Mediation?","Gerichtsverfahren","Konfliktlösung durch neutralen Dritten","Strafe","Kündigung","B","2","Mediation = strukturierte Konfliktlösung mit neutralem Vermittler.","mediation,konflikt,lösung","Win-Win-Lösungen angestrebt","Freiwillig und vertraulich"
"Kommunikation","Feedback","Was ist die Sandwich-Methode?","Nur Kritik","Lob-Kritik-Lob","Nur Lob","Schweigen","B","1","Kritik zwischen positiven Aussagen verpacken.","feedback,sandwich,methode","Kritik leichter annehmbar","Aufrichtigkeit wichtig"
"Kommunikation","Meeting","Was ist eine Agenda?","Protokoll","Tagesordnung","Teilnehmerliste","Präsentation","B","1","Agenda strukturiert Meeting-Ablauf und Themen.","meeting,agenda,organisation","Vorab versenden","Zeitvorgaben hilfreich"
"Qualitätsmanagement","ISO","Was ist ISO 9001?","IT-Standard","Qualitätsmanagement-Norm","Sicherheitsstandard","Umweltstandard","B","1","ISO 9001 definiert Anforderungen an Qualitätsmanagementsysteme.","iso9001,qualität,norm","Weltweit anerkannt","Zertifizierung möglich"
"Qualitätsmanagement","Methoden","Was ist Six Sigma?","Programmiersprache","Qualitätsmanagement-Methode","Verschlüsselung","Projektmethode","B","2","Six Sigma strebt 3,4 Fehler pro Million Möglichkeiten an.","six-sigma,qualität,methode","DMAIC-Zyklus","Statistikbasiert"
"Qualitätsmanagement","Tools","Was ist ein Ishikawa-Diagramm?","Flussdiagramm","Ursache-Wirkungs-Diagramm","Gantt-Chart","Netzplan","B","2","Fishbone-Diagramm zur systematischen Fehlerursachenanalyse.","ishikawa,fischgräte,qualität","6M: Mensch, Maschine, Material, Methode, Mitwelt, Messung","Visualisiert Zusammenhänge"
"Qualitätsmanagement","KPI","Was ist die First Call Resolution Rate?","Anrufanzahl","Lösung beim ersten Kontakt","Wartezeit","Gesprächsdauer","B","2","FCR misst Anteil der beim ersten Kontakt gelösten Probleme.","fcr,kpi,support","Wichtige Service-Kennzahl","Höher = besserer Service"
"Qualitätsmanagement","Prozess","Was ist ein SOP?","Software","Standard Operating Procedure","Service Offering","System Operation","B","1","SOPs sind dokumentierte Standardverfahren für wiederkehrende Prozesse.","sop,prozess,standard","Sichert Qualität und Konsistenz","Basis für Schulungen"
"Umwelt","Green IT","Was ist Power Usage Effectiveness (PUE)?","Software-Metrik","Rechenzentrum-Effizienz","Netzwerkgeschwindigkeit","Speicherkapazität","B","2","PUE = Gesamtenergie / IT-Energie, ideal nahe 1.0.","pue,green-it,effizienz","Niedriger = effizienter","Durchschnitt bei 1.5-2.0"
"Umwelt","Recycling","Was ist WEEE?","Software","Elektronikschrott-Richtlinie","Netzwerkprotokoll","Verschlüsselung","B","1","Waste Electrical and Electronic Equipment Directive der EU.","weee,recycling,elektronikschrott","Hersteller-Rücknahmepflicht","Getrennte Sammlung"
"Umwelt","Energieeffizienz","Was ist der Energy Star?","Stern","Energieeffizienz-Label","Software","Protokoll","B","1","Energy Star kennzeichnet energieeffiziente Geräte.","energy-star,effizienz,label","US-EPA Standard","Internationale Anerkennung"
"Umwelt","Nachhaltigkeit","Was bedeutet Carbon Footprint?","Schuhgröße","CO2-Bilanz","Energieverbrauch","Wasserverbrauch","B","1","Carbon Footprint misst Treibhausgas-Emissionen.","carbon-footprint,co2,nachhaltigkeit","In CO2-Äquivalenten","Reduzierung wichtig"
"Umwelt","Standards","Was ist die RoHS-Richtlinie?","Software-Standard","Beschränkung gefährlicher Stoffe","Recycling-Norm","Energienorm","B","2","Restriction of Hazardous Substances in Electrical Equipment.","rohs,umwelt,richtlinie","Verbietet Blei, Quecksilber etc.","CE-Kennzeichnung betroffen"
"Ergonomie","Arbeitsplatz","Was ist die optimale Bildschirmhöhe?","Über Augenhöhe","Oberkante auf Augenhöhe","Unter Augenhöhe","Egal","B","1","Oberkante des Bildschirms sollte auf oder leicht unter Augenhöhe sein.","ergonomie,bildschirm,arbeitsplatz","Verhindert Nackenverspannungen","Blickwinkel 20-30° nach unten"
"Ergonomie","Beleuchtung","Wie viel Lux für Bildschirmarbeit?","100 Lux","500 Lux","2000 Lux","5000 Lux","B","2","500 Lux ist Mindestbeleuchtung für Bildschirmarbeitsplätze.","ergonomie,beleuchtung,lux","Blend- und reflexfrei","Tageslicht bevorzugt"
"Ergonomie","Pausen","Was ist die 20-20-20 Regel?","Arbeitszeit","Augenpause alle 20 Min","Mittagspause","Feierabend","B","1","Alle 20 Min für 20 Sek auf 20 Fuß (6m) Entfernung schauen.","ergonomie,augen,pause","Reduziert Augenbelastung","Digital Eye Strain vorbeugen"
